pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Amoebiasis,0,2,7.534414639332964e-42,0.0587319246079773,1.8546251419896527e-40,Amoebiasis,0.0282441223577068
Amoebiasis,1,2,1.1608518366897112e-35,0.0486823463689849,1.2809399577265782e-34,Amoebiasis,0.0282441223577068
Transcriptional misregulation in cancer,0,2,6.4574887727359e-44,0.0371227570453165,2.3843035468563327e-42,Transcriptional misregulation in cancer,0.0263417373901772
Transcriptional misregulation in cancer,1,2,5.062251427668672e-37,0.03143015551535,7.253375179943171e-36,Transcriptional misregulation in cancer,0.0263417373901772
Yersinia infection,1,2,3.791052127441548e-42,0.0359529178314771,1.0109472339844127e-40,Yersinia infection,0.0238318980446058
Yersinia infection,0,2,5.917628582877406e-22,0.0208433218618109,1.979415832600108e-21,Yersinia infection,0.0238318980446058
Yersinia infection,0,1,1.0537759009255596e-11,-0.0151095959696661,2.0395662598559212e-11,Yersinia infection,0.0238318980446058
Epstein-Barr virus infection,0,1,8.256921489435691e-36,-0.0427519643724324,9.325464270421485e-35,Epstein-Barr virus infection,0.0217365322648492
Epstein-Barr virus infection,1,2,1.966727439991445e-28,0.039360799153583,9.833637199957226e-28,Epstein-Barr virus infection,0.0217365322648492
Toxoplasmosis,1,2,4.163118114157177e-40,0.0480621563204063,8.503390190618914e-39,Toxoplasmosis,0.021407231101375
Toxoplasmosis,0,2,4.61724102292565e-34,0.0391838028477234,3.922611842485508e-33,Toxoplasmosis,0.021407231101375
Toxoplasmosis,0,1,0.0007146541502407,-0.0088783534726828,0.0009359726933575,Toxoplasmosis,0.021407231101375
Pathways in cancer,0,2,2.9500685808256583e-53,0.0346884144219933,4.0458083394180464e-51,Pathways in cancer,0.0207892847216288
Pathways in cancer,1,2,7.091580989019532e-37,0.0247711317339123,9.866547462983696e-36,Pathways in cancer,0.0207892847216288
Pathways in cancer,0,1,8.693198559842535e-11,0.009917282688081,1.6173392669474483e-10,Pathways in cancer,0.0207892847216288
cGMP-PKG signaling pathway,0,2,1.0131977048238129e-44,0.0517313498244314,4.0527908192952506e-43,cGMP-PKG signaling pathway,0.0205413728871423
cGMP-PKG signaling pathway,0,1,4.7409721309997746e-43,0.0414206389738438,1.3791918926544794e-41,cGMP-PKG signaling pathway,0.0205413728871423
cGMP-PKG signaling pathway,1,2,2.099685595131065e-05,0.0103107108505876,2.986219513075293e-05,cGMP-PKG signaling pathway,0.0205413728871423
cAMP signaling pathway,0,2,1.1075583516635709e-47,0.0385273840136688,7.088373450646855e-46,cAMP signaling pathway,0.0204049611066374
cAMP signaling pathway,0,1,3.847082499339896e-43,0.0307254107827031,1.154124749801969e-41,cAMP signaling pathway,0.0204049611066374
cAMP signaling pathway,1,2,4.147154726991533e-05,0.0078019732309657,5.786727526034697e-05,cAMP signaling pathway,0.0204049611066374
Chemical carcinogenesis,0,1,3.7007760418651555e-38,0.0266384945759209,6.232885965246578e-37,Chemical carcinogenesis,0.0194286154896566
