pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Ras signaling pathway,0,2,3.809010053130477e-69,0.0581297645374029,3.656649651005258e-66
JAK-STAT signaling pathway,0,2,1.0717406097651874e-59,0.0675104854668764,5.144354926872899e-57
Rap1 signaling pathway,0,2,2.9774291758427822e-58,0.04971372796785603,9.527773362696902e-56
MAPK signaling pathway,0,2,4.9658004554136986e-58,0.043222487382450436,1.1917921092992876e-55
PI3K-Akt signaling pathway,0,2,7.6058371688936e-56,0.054682086332176416,1.4603207364275713e-53
Vascular smooth muscle contraction,0,2,7.485743293865931e-55,0.06019105205908787,1.1977189270185488e-52
Pathways in cancer,0,2,2.9500685808256583e-53,0.034688414421993385,4.045808339418046e-51
Phospholipase D signaling pathway,0,2,9.580300065306985e-53,0.05056119076023284,1.1496360078368382e-50
Renin secretion,0,2,3.739432141717579e-52,0.0763307703179999,3.988727617832084e-50
Choline metabolism in cancer,0,2,3.2574369469871286e-51,0.041775880017514117,3.1271394691076436e-49
Fanconi anemia pathway,0,2,3.1316618051908076e-50,-0.08559439461826641,2.7330866663483415e-48
Focal adhesion,0,2,2.0458642344368283e-49,0.0682924328942876,1.6366913875494625e-47
Melanoma,0,2,4.219433829488328e-48,0.05342331719248475,3.1158895971606112e-46
Calcium signaling pathway,0,2,7.300179773013977e-48,0.04801090983820128,5.0058375586381556e-46
cAMP signaling pathway,0,2,1.107558351663571e-47,0.03852738401366888,7.088373450646855e-46
Pyrimidine metabolism,0,1,1.1458184598102706e-46,-0.05092377334654519,6.874910758861624e-45
Pyrimidine metabolism,0,2,1.326094747183141e-46,-0.05818062490589859,7.488535042916562e-45
Apelin signaling pathway,0,2,4.135531357950494e-46,0.04829730123953624,2.2056167242402634e-44
Adherens junction,0,2,5.601525539920084e-46,0.050732407182054906,2.8302444833280424e-44
Acute myeloid leukemia,0,2,6.222320249445092e-46,0.0449512268657305,2.9867137197336446e-44
Oxytocin signaling pathway,0,2,7.10690157976849e-46,0.04222853104062152,3.248869293608453e-44
Fluid shear stress and atherosclerosis,0,2,1.0576602487287701e-45,0.0428613474427737,4.615244721725542e-44
Base excision repair,0,2,6.536142439533656e-45,-0.0690616983174922,2.728129018240134e-43
cGMP-PKG signaling pathway,0,2,1.0131977048238128e-44,0.05173134982443149,4.0527908192952506e-43
Breast cancer,0,2,2.7148154803163647e-44,0.03809335149565404,1.042489144441484e-42
Transcriptional misregulation in cancer,0,2,6.4574887727359e-44,0.03712275704531651,2.3843035468563324e-42
Homologous recombination,0,2,8.685533712713209e-44,-0.06949944575967634,3.088189764520252e-42
Gap junction,0,2,1.646121489958491e-43,0.04655260165568789,5.643845108429112e-42
Regulation of actin cytoskeleton,0,2,1.9286573236311934e-43,0.03991573508302773,6.171703435619819e-42
Viral carcinogenesis,0,1,1.9032419666683127e-43,-0.0328717528315865,6.171703435619819e-42
Osteoclast differentiation,1,2,2.004710874373219e-43,0.05913297021681849,6.208136901284807e-42
cAMP signaling pathway,0,1,3.847082499339896e-43,0.030725410782703137,1.154124749801969e-41
cGMP-PKG signaling pathway,0,1,4.740972130999774e-43,0.04142063897384385,1.3791918926544794e-41
Vascular smooth muscle contraction,0,1,1.205572347531068e-42,0.04247500149603865,3.4039689812641925e-41
PPAR signaling pathway,0,2,1.503416781759566e-42,0.10644967090932377,4.1236574585405236e-41
Yersinia infection,1,2,3.791052127441548e-42,0.035952917831477166,1.0109472339844127e-40
Fc gamma R-mediated phagocytosis,1,2,5.822781411493703e-42,0.039259951358361855,1.509614467334926e-40
Adipocytokine signaling pathway,0,2,5.975557266534082e-42,0.06742053834277781,1.509614467334926e-40
Amoebiasis,0,2,7.534414639332964e-42,0.058731924607977354,1.8546251419896527e-40
Ras signaling pathway,0,1,2.001332174050873e-41,0.03452756951425452,4.803197217722095e-40
Fatty acid degradation,0,1,4.0846577208177535e-41,0.07187012744630755,9.564076614597666e-40
Regulation of lipolysis in adipocytes,0,2,4.5665814440469337e-41,0.1112382783562158,1.043790044353585e-39
