Pathway,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
AGE-RAGE signaling pathway in diabetic complications,-0.34220725,-0.53551465,-0.22417822,0.50199586,-0.38348362,0.014470514,-0.19878612,-0.06317416,-0.56832296,0.032642324,0.030442402,-0.082590595,-0.30573592,0.103366494,-0.18702185,-0.13356413,-0.14976333,-0.052041795,0.33041957,0.2300183,0.18994056,-0.11730073,0.16933301,-0.08451142,-0.05458683,0.022055108,-0.16538724,0.32870013,-0.5268655,-0.3774276,0.3000473,-0.3131391,0.20118454,0.21139145,0.15108284,-0.11905073,-0.040921643,-0.16856228,0.20185591,0.09198972,-0.3802227,0.24754497,-0.24434042,-0.08640645,-0.3438012,0.14497767,0.20259178,0.21550964,0.035588406,0.29882863,0.7273787,-0.18306808,0.26328635,-0.053663447,-0.10198113,0.19534236,0.3469392,-0.015106309,-0.033899337,0.26862782,-0.24853264,-0.14174767,0.15272345,-0.48220095
Amoebiasis,-0.04170174,-0.515932,-0.28759998,0.36852062,-0.21981826,-0.15362564,-0.22870906,0.053737167,-0.49716407,0.024609884,-0.12471592,-0.07997359,-0.36358047,0.0794624,-0.12857503,0.0117626935,-0.2709353,-0.11740766,0.15338354,0.23179723,0.15269703,-0.21471807,0.4130763,-0.19113316,0.4702587,0.14636801,-0.13668714,-0.047936577,-0.5351064,-0.3760762,0.15970121,-0.22831357,0.28641573,0.21172148,0.2196448,0.06049075,0.3815965,-0.18312103,0.024771728,0.2931929,-0.089753345,0.21205884,-0.24358298,-0.04660453,-0.541156,-0.19831105,0.11564906,0.2925436,-0.3120235,0.22033945,0.72191876,0.25713938,0.16552563,-0.039548364,-0.33227885,-0.07844356,0.14842592,0.10319391,-0.09437319,0.042060636,-0.33656558,-0.0787982,0.037469655,-0.25040114
Chagas disease,0.049360264,-0.56811684,0.37169197,0.45307767,-0.37135324,0.36093074,-0.1253245,-0.2949126,-0.5896337,0.0027789527,-0.25444484,-0.17118245,-0.45229295,0.4961766,-0.14152932,0.17773257,-0.3738881,-0.12777254,-0.09997302,0.058875732,-0.33829385,0.2214686,0.338959,-0.29647222,0.40153104,0.12753609,-0.03311776,-0.08156217,-0.4890023,-0.4524369,0.38153103,-0.21172349,0.17610368,0.20870845,-0.17173737,0.09338873,0.34835935,-0.09443025,-0.047550473,-0.06682519,0.03367205,0.24148807,0.07457034,-0.23634286,-0.06630619,-0.06773996,0.10565751,0.0467365,-0.26506934,0.47202474,0.15795924,0.15260912,0.3982956,-0.33492136,-0.12291368,0.37521967,0.20714359,0.064975835,0.005411299,0.41286376,-0.4277202,0.034701437,0.2384244,0.33229324
ECM-receptor interaction,-0.5863008,-0.41789657,-0.40686038,0.19370094,-0.23932223,-0.32549694,-0.092186965,-0.0033670152,-0.61821187,0.12760934,0.045782197,-0.23728521,-0.14816807,0.31854054,-0.38522148,-0.062662326,-0.16476007,-0.20167297,0.09666736,0.33967182,0.12878111,-0.026388796,0.31535792,0.051086206,0.12677407,0.162881,-0.023959085,0.24357426,-0.45743582,-0.3983085,0.36865336,0.016387189,0.04989909,0.3458527,-0.036981482,-0.024566812,0.0070405602,-0.5350234,-0.04618221,0.2624687,0.005335823,0.20962536,-0.29469362,0.07409725,-0.3434095,-0.07319606,0.04886273,0.19669637,-0.017641997,0.2930851,0.85058594,0.03049719,0.3302186,0.062285937,0.15681072,-0.19009964,0.15081738,-0.15532668,-0.15902376,0.46118778,-0.19165418,-0.15144181,0.0038572045,-0.2502763
Focal adhesion,-0.5890395,-0.29569882,-0.19069247,0.34180126,-0.1957696,-0.15742709,-0.17888592,0.1091646,-0.63443094,-0.11151434,0.1435217,-0.15855664,-0.20959575,0.22150943,-0.18935336,0.056565795,-0.2548329,-0.1395552,0.051327825,0.21495534,0.112647474,-0.03116533,0.07816856,-0.10998071,0.2230691,0.10697029,-0.11714935,0.1855577,-0.38623154,-0.39964887,0.3190118,-0.11235569,0.27157575,0.14200942,0.10076774,0.019121021,0.16680685,-0.5092029,0.15490393,0.16476871,0.025433803,0.0055969274,-0.5249831,-0.03673946,-0.35203782,0.055535465,0.018636825,0.45247427,0.04669348,0.26232317,0.80267555,0.08384169,0.20208874,0.029557312,0.15064259,-0.28585872,0.18973617,-0.26547083,-0.0070523447,0.48995876,-0.114408836,-0.15695457,-0.007734727,-0.28900906
Human papillomavirus infection,-0.5374729,-0.51971465,-0.66174656,0.46491584,0.05117253,-0.09982297,-0.017395252,-0.03296421,-0.35471776,0.08107082,-0.0015078358,-0.23669884,-0.17069712,0.2716792,-0.3730791,-0.044263218,-0.36224017,-0.38505948,-0.0090267025,0.49307576,0.009038892,-0.040900014,0.1146736,0.09740952,0.16391765,0.11598197,-0.060734972,0.30196497,-0.10174883,-0.2730919,0.41898513,-0.17414069,0.29937702,0.3690915,-0.028598497,0.11936276,-0.11444698,-0.40300012,0.23411392,0.2716474,0.038013767,0.18208516,-0.47816655,0.045376953,-0.35804588,0.040471893,0.02300827,0.30742958,0.08934463,0.3112867,0.71910626,-0.007210529,0.5371269,0.30495313,0.06707054,-0.288326,0.3228241,-0.09026557,-0.1819716,0.18505432,-0.16137874,0.19655836,0.08889835,-0.16988172
Leukocyte transendothelial migration,-0.03308907,-0.7199985,0.15276663,0.20268114,0.08477727,-0.018576782,-0.12500244,-0.201266,-0.5348551,-0.08966465,-0.487974,-0.2686629,-0.43712828,0.24640757,-0.12459802,-0.044242702,-0.17049868,-0.028649934,0.049812812,0.14176606,0.47867978,0.114050865,0.15431182,-0.13029821,0.47728747,0.16475093,-0.32342115,0.052491136,-0.48133084,-0.6173521,-0.011235679,-0.044098042,0.30991864,0.2513231,0.0022558463,-0.1952135,0.11668053,-0.4386125,-0.061709426,0.16698015,-0.29332986,0.36795825,-0.114859186,-0.25346372,-0.41387644,-0.48851147,0.056267958,0.26101252,0.23196909,0.19242522,0.54801494,0.083610244,0.32809117,-0.07861966,-0.21308693,0.41633514,0.19465524,0.060477637,0.2098363,0.18453257,-0.38985473,-0.18131354,0.44134665,-0.034678835
MAPK signaling pathway,-0.50047565,-0.42203704,-0.18738995,0.55615777,-0.0096062645,-0.23070459,0.111324266,0.18886812,-0.7025096,0.1127228,0.12890753,-0.3439144,-0.22474617,0.19537465,-0.3091739,-0.25400743,0.055161875,-0.15127958,0.34449086,0.46243078,0.196291,0.078254454,-0.022613393,-0.004527965,0.22537294,-0.02459231,-0.14051768,0.21889009,-0.120680526,-0.3008738,0.60047185,0.36464676,0.2434226,0.3870822,0.26013595,0.12926917,0.64451396,-0.32132372,0.23622343,0.03313629,0.12145507,-0.25606236,-0.13739261,-0.14204583,-0.60953605,0.0102592055,0.40569004,0.10315303,0.20163532,-0.09370515,0.5699131,-0.18381755,0.1026546,-0.07326104,-0.09460045,0.018645823,0.27857545,-0.0114970645,-0.40838003,0.22405331,-0.15556802,-0.05888428,0.04824484,-0.40826347
PI3K-Akt signaling pathway,-0.5503904,-0.3134259,-0.3081644,0.4573228,-0.19541697,-0.16401675,-0.14205034,-0.050602403,-0.60769373,0.05747589,0.08538146,-0.21318065,-0.23693085,0.034625582,-0.20418702,-0.11063967,-0.17306682,-0.19531749,0.02658443,0.12956712,-0.025399122,0.13025768,0.119801335,-0.208716,0.12287718,0.11925945,-0.13094383,0.18711278,-0.36057281,-0.29873246,0.17103954,-0.13759814,0.22755085,0.20754768,0.008310067,-0.00039667284,0.1402314,-0.41574442,0.091457665,0.20636904,0.07497686,0.02544445,-0.49011058,0.02096398,-0.40950134,-0.042845543,0.1787785,0.3354408,0.20937854,0.22121443,1.0109769,0.06787634,0.27245644,0.14731199,0.16269259,-0.054808814,0.3792178,-0.20825781,-0.10585212,0.43070564,-0.11873703,-0.13171904,-0.08387625,-0.26529384
Pathways in cancer,-0.582492,-0.3670803,-0.4133182,0.3273397,-0.11799078,-0.20912537,-0.1319585,0.03875578,-0.65834767,-0.028161865,-0.105870426,-0.29527646,-0.3022725,0.13745722,-0.19906545,-0.0032207407,-0.22507541,-0.0524845,0.014179381,0.39328274,0.030928807,0.04337579,0.1353858,-0.04677666,0.2024162,0.35748452,0.12189645,0.35142258,-0.30290267,-0.18169382,0.30125785,-0.08779319,0.3499964,0.15829512,-0.099537835,-0.0573533,0.023239408,-0.44950354,0.10041299,0.13808203,-0.051154383,0.062854774,-0.34734574,-0.014975814,-0.3448986,0.07351202,0.042405184,0.19124822,0.10722887,0.32630435,0.7885958,-0.048546854,0.20931879,0.19462839,0.19757468,-0.30394784,0.20480715,-0.15080121,0.03868385,0.4513066,-0.31843424,0.073782414,0.0023845406,-0.3092975
