Pathway,Importance
Amoebiasis,0.02824412235770688
Transcriptional misregulation in cancer,0.026341737390177235
Yersinia infection,0.02383189804460584
Epstein-Barr virus infection,0.02173653226484925
Toxoplasmosis,0.02140723110137507
Pathways in cancer,0.020789284721628852
cGMP-PKG signaling pathway,0.020541372887142362
cAMP signaling pathway,0.020404961106637476
Chemical carcinogenesis,0.019428615489656603
JAK-STAT signaling pathway,0.017389449579456623
Fatty acid degradation,0.01738063313061696
TNF signaling pathway,0.01734748820096237
Renin secretion,0.017314555785812542
Pyrimidine metabolism,0.017093712238678515
Ras signaling pathway,0.016697066212457628
Vascular smooth muscle contraction,0.015609300328057867
Viral carcinogenesis,0.015448708718587648
Calcium signaling pathway,0.01514087552590886
Regulation of lipolysis in adipocytes,0.015072914090898462
Tuberculosis,0.014260096006156362
B cell receptor signaling pathway,0.013529291296450674
Kaposi sarcoma-associated herpesvirus infection,0.013038659626328277
Fanconi anemia pathway,0.012546779667579902
Chagas disease,0.01230747553942859
Human T-cell leukemia virus 1 infection,0.01215215822637819
C-type lectin receptor signaling pathway,0.012149645061027767
Phenylalanine metabolism,0.012060185268639891
Th17 cell differentiation,0.011857437944906166
Osteoclast differentiation,0.011569704408774922
Fc gamma R-mediated phagocytosis,0.011146580327096022
Leishmaniasis,0.010583055110771403
Fc epsilon RI signaling pathway,0.010547751413080479
Natural killer cell mediated cytotoxicity,0.010452070495560007
Leukocyte transendothelial migration,0.010256166936882069
Acute myeloid leukemia,0.01014578441825999
Homologous recombination,0.010036264753203829
Th1 and Th2 cell differentiation,0.009863429136308713
Choline metabolism in cancer,0.009648619044552314
MAPK signaling pathway,0.00901416698562532
Amphetamine addiction,0.008873633952313909
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.008637888748087543
Oxytocin signaling pathway,0.008071399652411191
Lipid and atherosclerosis,0.00782787347286897
Human cytomegalovirus infection,0.007378979107151512
Cell cycle,0.006680951718605338
Phospholipase D signaling pathway,0.006656858823571818
Melanoma,0.006471848693066596
Apelin signaling pathway,0.006247931346314181
Cell adhesion molecules,0.006199419695198419
Pathogenic Escherichia coli infection,0.006037014889866805
PI3K-Akt signaling pathway,0.005837848415575149
"Valine, leucine and isoleucine degradation",0.00578782436194431
Fluid shear stress and atherosclerosis,0.0053886083605408095
Propanoate metabolism,0.0053259962102886645
Toll-like receptor signaling pathway,0.005280870757402401
Circadian entrainment,0.00518703610453917
Phagosome,0.004992030149960295
Cytokine-cytokine receptor interaction,0.004945589719514442
T cell receptor signaling pathway,0.0048976938848684076
Retinol metabolism,0.004844226470147754
DNA replication,0.004765071732331628
beta-Alanine metabolism,0.004631933335084528
Coronavirus disease,0.004570855543654016
Tyrosine metabolism,0.004564246954872395
Aldosterone synthesis and secretion,0.004306967957926982
Hematopoietic cell lineage,0.004060851558229638
Histidine metabolism,0.003883773876608326
African trypanosomiasis,0.0035762231956980913
Malaria,0.003474211254588572
Systemic lupus erythematosus,0.0034616574332911243
AMPK signaling pathway,0.0034327086171575144
Influenza A,0.0034083595816574433
Fatty acid biosynthesis,0.0033731686211744697
Nitrogen metabolism,0.0032681382702080645
Viral myocarditis,0.0032472423793919038
Adipocytokine signaling pathway,0.003218351381366014
Measles,0.0031801260321480157
Breast cancer,0.0030184052133956814
Regulation of actin cytoskeleton,0.00294729257943051
Butanoate metabolism,0.002902919121623537
AGE-RAGE signaling pathway in diabetic complications,0.0029015486707465303
Shigellosis,0.0027898267907208725
Salmonella infection,0.0027792162542332284
Rap1 signaling pathway,0.0027232073099192644
Longevity regulating pathway,0.0027209185749850514
Allograft rejection,0.002642338025878937
RIG-I-like receptor signaling pathway,0.002581976650413686
Cocaine addiction,0.0025690912412182536
Chemokine signaling pathway,0.0025686448347442994
PPAR signaling pathway,0.0025392517527239073
Pyruvate metabolism,0.002517233674112502
Inflammatory bowel disease,0.0025112118259800363
Antigen processing and presentation,0.0025036461940747315
Aminoacyl-tRNA biosynthesis,0.0024856106217759186
Gap junction,0.002479004499291114
NF-kappa B signaling pathway,0.0024035697351014714
Staphylococcus aureus infection,0.0023891880599223657
Intestinal immune network for IgA production,0.0023584389747854963
Circadian rhythm,0.002349142868314336
Wnt signaling pathway,0.0022828923257601705
Mismatch repair,0.0022727805095569165
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.0021753465651255157
Viral protein interaction with cytokine and cytokine receptor,0.0021277926236140175
Adrenergic signaling in cardiomyocytes,0.00210884830575202
Human immunodeficiency virus 1 infection,0.0020636472143084014
Insulin signaling pathway,0.002031485231161704
Rheumatoid arthritis,0.0020256677261755334
Taurine and hypotaurine metabolism,0.001966306521072774
Base excision repair,0.001945606263355011
ErbB signaling pathway,0.0019271065199632043
Hepatitis B,0.0019165406607540626
Gastric acid secretion,0.001916219398663085
Graft-versus-host disease,0.0018511460753220443
Dopaminergic synapse,0.0018173196400962396
Adherens junction,0.001794680689847921
"Parathyroid hormone synthesis, secretion and action",0.0017796218767895636
Bladder cancer,0.0017712816514338298
Neutrophil extracellular trap formation,0.0017712616689819832
Glucagon signaling pathway,0.0017604272218884843
Relaxin signaling pathway,0.0017417828907083993
Aldosterone-regulated sodium reabsorption,0.0017058392902333872
Proximal tubule bicarbonate reclamation,0.0016480870597481167
Thyroid hormone synthesis,0.0016356201324369693
Primary immunodeficiency,0.0015501086964918986
Bile secretion,0.00154978872935156
Thyroid hormone signaling pathway,0.001454759280781285
Insulin resistance,0.0014214212583665844
Oocyte meiosis,0.0013526338015368386
Autoimmune thyroid disease,0.0013315585093215333
Mineral absorption,0.0013230452113823458
NOD-like receptor signaling pathway,0.0013050750981988656
Pertussis,0.0013001569256910453
Platelet activation,0.0012974130830879266
Drug metabolism,0.0012590462184956079
Arachidonic acid metabolism,0.0012085697150437315
RNA polymerase,0.0011395201871186773
Small cell lung cancer,0.0011373226417169425
Apoptosis,0.0011252905092874787
Proteasome,0.0011138140988044337
Type I diabetes mellitus,0.0011036665338012468
